"","stType","gender","X","ID","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","condicao","dfs","fss","autoeficacia.pre","autoeficacia.pos"
"104","stMale","Masculino",9,"p09","male4stem",284.845,1620148152461,1620148437306,3,"2021-05-04 14:21:36","Aceito",4,4,3,4,3,4,3,4,4,8,8,8,6,6,5,"2021-05-04 14:17:47",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.66666666666667,3.44444444444444,6.83333333333333,6.5
"105","stMale","Masculino",10,"p10","male4stem",284.845,1620148152461,1620148437306,3,"2021-05-04 14:21:36","Aceito",4,4,3,4,3,4,3,4,4,8,8,8,6,6,5,"2021-05-04 14:25:46",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.66666666666667,3.44444444444444,6.83333333333333,6.5
"107","stMale","Masculino",19,"p19","male4enem",283.557,1619809448424,1619809731981,2.64575131106459,"2021-04-30 16:04:07","Aceito",5,3,3,4,4,5,5,5,5,8,8,8,6,8,6,"2021-04-30 16:18:35",5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,"Pardo","Classe Média","Araçoiaba","2º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4.33333333333333,5,7.33333333333333,8
"111","stMale","Masculino",32,"p32","male4tpe",742.464,1620147744912,1620148487376,2.23606797749979,"2021-05-04 14:02:24","Aceito",5,1,4,5,5,4,5,3,4,8,8,8,6,4,6,"2021-05-04 14:24:55",4,1,5,1,1,5,4,4,5,8,8,8,8,8,8,"Branco","Classe Baixa","carpi PE","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4,3.33333333333333,6.66666666666667,8
"112","stMale","Masculino",38,"p38","male4tpe",269.648,1619804000813,1619804270461,2.23606797749979,"2021-04-30 14:31:34","Aceito",2,1,3,4,3,4,5,3,3,3,4,4,6,8,5,"2021-04-30 14:46:22",4,1,3,3,4,4,4,4,4,8,8,5,8,6,8,"Pardo","Classe Baixa","LAGOA DO CARRO","3º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.11111111111111,3.44444444444444,5,7.16666666666667
"113","stMale","Masculino",40,"p40","male4tpe",199.381,1619805461402,1619805660783,2.44948974278318,"2021-04-30 14:57:38","Aceito",5,3,5,5,4,3,4,5,5,5,5,7,6,6,8,"2021-04-30 16:08:24",5,4,5,3,5,4,4,5,5,8,8,7,7,6,5,"Pardo","Classe Média","Carpi","2º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4.33333333333333,4.44444444444444,6.16666666666667,6.83333333333333
"114","stMale","Masculino",48,"p48","male4tpe",1113.735,1619813867722,1619814981457,2.44948974278318,"2021-04-30 17:10:54","Aceito",4,4,3,4,4,3,4,4,4,7,7,7,6,7,6,"2021-04-30 17:42:37",4,3,3,4,4,4,3,3,3,6,6,5,6,5,6,"Pardo","Classe Média","Carpi","2º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.77777777777778,3.44444444444444,6.66666666666667,5.66666666666667
"115","stMale","Masculino",49,"p49","male4stem",338.95,1620149933418,1620150272368,2.23606797749979,"2021-05-04 14:38:53","Aceito",4,2,3,4,4,4,5,4,5,8,8,8,8,8,8,"2021-05-04 14:50:14",5,5,4,3,4,5,5,4,4,8,8,8,8,8,8,"Pardo","Classe Média","Carpi PE","2º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.88888888888889,4.33333333333333,8,8
"116","stMale","Masculino",65,"p65","male4stem",479.537,1619716795073,1619717274610,2.23606797749979,"2021-04-29 14:16:03","Aceito",5,4,5,5,4,5,5,3,5,8,8,8,8,4,4,"2021-04-29 14:33:51",5,5,5,5,3,4,4,4,5,8,8,8,8,5,8,"Pardo","Classe Baixa","Paudalho","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4.55555555555556,4.44444444444444,6.66666666666667,7.5
"117","stMale","Masculino",66,"p66","male4stem",479.537,1619716795073,1619717274610,2.23606797749979,"2021-04-29 14:16:03","Aceito",5,4,5,5,4,5,5,3,5,8,8,8,8,4,4,"2021-04-29 14:34:04",5,5,5,5,3,4,4,4,5,8,8,8,8,5,8,"Pardo","Classe Baixa","Paudalho","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4.55555555555556,4.44444444444444,6.66666666666667,7.5
