"","stType","gender","X","ID","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","condicao","dfs","fss","autoeficacia.pre","autoeficacia.pos"
"74","stFemale","Masculino",108,"p108","female4math",254.822,1620146670446,1620146925268,11,"5/4/21 13:45","Aceito",4,4,5,5,4,5,5,5,4,8,8,8,8,3,8,"5/4/21 13:51",5,5,4,5,3,5,3,4,5,8,8,8,8,8,8,"Branco","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4.5111111112,4.333333333,7.166666667,8
"75","stFemale","Masculino",109,"p109","female4math",254.822,1620146670446,1620146925268,11,"5/4/21 13:45","Aceito",4,4,5,5,4,5,5,5,4,8,8,8,8,3,8,"5/4/21 13:51",5,5,4,5,3,5,3,4,5,8,8,8,8,8,8,"Branco","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4.5111111112,4.333333333,7.166666667,8
"76","stFemale","Masculino",113,"p113","female4bolsas",193.355,1620147503092,1620147696447,12,"5/4/21 13:58","Aceito",4,4,5,5,5,4,3,2,5,8,8,8,8,8,6,"5/4/21 14:04",4,5,4,4,1,4,4,5,5,8,5,4,8,6,6,"Pardo","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4.111111111,4,7.666666667,6.166666667
"78","stFemale","Masculino",115,"p115","female4trigemeas",202.538,1620143896695,1620144099233,10,"5/4/21 13:56","Aceito",5,1,3,4,5,4,3,3,5,6,8,8,8,7,8,"5/4/21 14:02",3,4,3,1,5,5,5,5,5,8,7,8,5,5,5,"Pardo","Classe Baixa","Lagoa de itaenga Pe","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.666666667,4,7.5,6.333333333
"79","stFemale","Masculino",120,"p120","female4math",421.381,1620146814787,1620147236168,16,"5/4/21 13:47","Aceito",4,1,4,5,5,5,3,3,5,8,8,8,8,8,8,"5/4/21 13:57",5,3,4,3,5,5,5,5,5,8,8,8,8,8,8,"Pardo","Classe Média","Lagoa de Itaenga","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.888888889,4.444444444,8,8
"80","stMale","Feminino",23,"p23","male4enem",291.002,1620147223530,1620147514532,16,"5/4/21 13:54","Aceito",3,3,4,4,3,3,4,4,4,6,7,6,6,6,4,"5/4/21 14:03",3,5,4,3,3,4,4,3,4,7,5,7,6,5,6,"Pardo","Classe Média","Feira Nova","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.555555556,3.666666667,5.833333333,6
"81","stMale","Feminino",33,"p33","male4stem",121.314,1620147511893,1620147633207,1,"5/4/21 13:58","Aceito",2,1,5,5,5,2,3,2,5,7,8,8,8,1,7,"5/4/21 14:04",5,5,1,3,1,5,1,3,5,8,8,3,8,8,1,"Branco","Classe Baixa","Carpi pe","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.333333333,3.222222222,6.5,6
"82","stMale","Feminino",37,"p37","male4stem",193.266,1620405819657,1620406012923,14,"5/7/21 13:43","Aceito",4,2,4,4,5,5,1,4,4,8,8,8,8,8,4,"5/7/21 13:57",5,5,4,5,4,3,4,3,5,8,8,8,8,3,6,"Pardo","Classe Média","Carpi","3º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.666666667,4.222222222,7.333333333,6.833333333
"83","stMale","Feminino",42,"p42","male4tpe",135.498,1620147409337,1620147544835,10,"5/4/21 13:56","Aceito",4,4,5,4,5,4,3,5,4,8,8,8,8,7,2,"5/4/21 14:00",4,3,4,5,4,4,4,4,3,7,4,3,4,5,6,"Pardo","Classe Média","Araçoiaba","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4.222222222,3.888888889,6.833333333,4.833333333
"84","stMale","Feminino",44,"p44","male4tpe",441.996,1620178776422,1620179218418,17,"5/4/21 22:39","Aceito",3,2,2,3,2,2,3,3,3,6,6,6,5,6,5,"5/4/21 22:52",4,5,4,4,2,2,3,3,2,8,8,7,7,6,6,"Pardo","Classe Média","Araçoiaba","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",2.7666666669,3.222222222,5.666666667,7
"86","stMale","Feminino",47,"p47","male4stem",230.14,1620149378860,1620149609000,15,"5/4/21 14:24","Aceito",3,3,2,3,4,3,2,3,4,4,4,4,4,3,3,"5/4/21 14:35",3,2,3,2,3,3,2,4,4,3,1,3,2,3,3,"Indíge","Classe Média","Araçoiaba","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3,2.888888889,3.666666667,2.5
